Year,LocationAbbr,LocationDesc,DataSource,Topic,Subtopic,ShortQuestionText,Greater_Risk_Question,Description,Data_Value_Symbol,Data_Value_Type,Greater_Risk_Data_Value,Greater_Risk_Data_Value_Footnote_Symbol,Greater_Risk_Data_Value_Footnote,Greater_Risk_Low_Confidence_Limit,Greater_Risk_High_Confidence_Limit,Lesser_Risk_Question,Lesser_Risk_Data_Value,Lesser_Risk_Data_Value_Footnote_Symbol,Lesser_Risk_Data_Value_Footnote,Lesser_Risk_High_Confidence_Limit,Lesser_Risk_Low_Confidence_Limit,Sample_Size,Sex,Age,GeoLocation,TopicID,SubtopicID,QuestionCode,LocationId,StratID1,StratID2,StratID3,StratificationType
2015,PI,Philippines,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,46.0382,,,39.248,52.9787,Did not eat food from a fast food restaurant,53.9618,,,60.752,47.0213,750,Male,16,,C05,C44,G10,NULL,S8,A5,PI,Western Pacific
2009,AI,Anguilla,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,69.2107,,,67.0178,71.3203,Did not eat food from a fast food restaurant,30.7893,,,32.9822,28.6797,281,Male,13-15,,C05,C44,G10,NULL,S8,A7,AI,Americas
2011,CS,Cook Islands,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,21.1268,,,17.4902,25.2879,N/A,78.8732,,,82.5098,74.7121,367,Female,13-15,,C05,C44,QNFF3G,NULL,S7,A7,CS,Western Pacific
2015,KW,Kuwait,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,43.5463,,,35.0631,52.4249,N/A,56.4537,,,64.9369,47.5751,723,Total,14,,C05,C44,QNFF2G,NULL,S1,A3,KW,Eastern Mediterranean
2015,IO,Indonesia,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,52.9345,,,49.6024,56.2407,Did not eat food from a fast food restaurant,47.0655,,,50.3976,43.7593,3256,Male,13-15,,C05,C44,G10,NULL,S8,A7,IO,South-East Asia
2011,YSM,Malaysia - M,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,42.1555,,,31.0933,54.0654,Did not eat food from a fast food restaurant,57.8445,,,68.9067,45.9346,244,Total,15,,C05,C44,G10,NULL,S1,A4,YSM,Western Pacific
2011,YS,Malaysia,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,48.8402,,,45.4162,52.275,Did not eat food from a fast food restaurant,51.1598,,,54.5838,47.725,2748,Female,15,,C05,C44,G10,NULL,S7,A4,YS,Western Pacific
2011,YSG,Malaysia - G,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,13.2693,,,9.1799,18.8033,N/A,86.7307,,,90.8201,81.1967,569,Male,13-15,,C05,C44,QNFF2G,NULL,S8,A7,YSG,Western Pacific
2011,YSD,Malaysia - D,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,51.6189,,,42.3319,60.7953,Did not eat food from a fast food restaurant,48.3811,,,57.6681,39.2047,323,Total,15,,C05,C44,G10,NULL,S1,A4,YSD,Western Pacific
2011,TTB,Trinidad and Tobago (Tobago),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,92,Female,15,,C05,C44,QNFF3G,NULL,S7,A4,TTB,Americas
2013,MG,Mongolia,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,53.3115,,,45.8575,60.6206,Did not eat food from a fast food restaurant,46.6885,,,54.1425,39.3794,552,Male,13,,C05,C44,G10,NULL,S8,A2,MG,Western Pacific
2015,PIE,Philippines (Malita),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,49,Male,13,,C05,C44,QNFF2G,NULL,S8,A2,PIE,Western Pacific
2012,AGE,Argentina Cuidad de Buenos Aires,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,43.1748,,,37.6927,48.8293,Did not eat food from a fast food restaurant,56.8252,,,62.3073,51.1707,577,Male,Total,,C05,C44,G10,NULL,S8,A1,AGE,Americas
2014,TZ,Tanzania,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,35.4675,,,29.9198,41.4356,Did not eat food from a fast food restaurant,64.5325,,,70.0802,58.5644,1142,Female,13-15,,C05,C44,G10,NULL,S7,A7,TZ,African
2011,PI,Philippines,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,57.9597,,,47.9967,67.3138,Did not eat food from a fast food restaurant,42.0403,,,52.0033,32.6862,580,Female,13,,C05,C44,G10,NULL,S7,A2,PI,Western Pacific
2015,TH,Thailand,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,61.4426,,,56.3859,66.2638,N/A,38.5574,,,43.6141,33.7362,1632,Male,13-15,,C05,C44,QNFF2G,NULL,S8,A7,TH,South-East Asia
2015,KW,Kuwait,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,78.1562,,,73.0361,82.5365,Did not eat food from a fast food restaurant,21.8438,,,26.9639,17.4635,648,Total,17,,C05,C44,G10,NULL,S1,A6,KW,Eastern Mediterranean
2012,GHH,Ghana Junior High,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,46.6122,,,33.7479,59.9435,N/A,53.3878,,,66.2521,40.0565,150,Female,15,,C05,C44,QNFF2G,NULL,S7,A4,GHH,African
2012,BLB,Bolivia Plains,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,34.7366,,,25.7024,45.0221,N/A,65.2634,,,74.2976,54.9779,108,Female,14,,C05,C44,QNFF2G,NULL,S7,A3,BLB,Americas
2011,VU,Vanuatu,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,19.8518,,,11.1513,32.8321,N/A,80.1482,,,88.8487,67.1679,124,Female,15,,C05,C44,QNFF3G,NULL,S7,A4,VU,Western Pacific
2011,WS,Samoa,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,52.183,,,48.8369,55.5096,N/A,47.817,,,51.1631,44.4904,1359,Female,Total,,C05,C44,QNFF2G,NULL,S7,A1,WS,Western Pacific
2012,AGK,Argentina La Pampa,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,25.6447,,,19.6765,32.6866,Did not eat food from a fast food restaurant,74.3553,,,80.3235,67.3134,258,Female,14,,C05,C44,G10,NULL,S7,A3,AGK,Americas
2010,UWA,UNRWA Gaza,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,56.781,,,52.0286,61.4117,Did not eat food from a fast food restaurant,43.219,,,47.9714,38.5883,948,Male,13-15,,C05,C44,G10,NULL,S8,A7,UWA,Eastern Mediterranean
2015,GTB,Guatemala (Capital City Private),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,36.9147,,,27.552,47.3784,N/A,63.0853,,,72.448,52.6216,1128,Total,13-15,,C05,C44,QNFF2G,NULL,S1,A7,GTB,Americas
2012,AGL,Argentina La Rioja,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,24.3742,,,15.2197,36.6545,N/A,75.6258,,,84.7803,63.3455,155,Male,15,,C05,C44,QNFF2G,NULL,S8,A4,AGL,Americas
2015,IO,Indonesia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,25.4617,,,24.0712,26.9041,N/A,74.5383,,,75.9288,73.0959,11077,Total,Total,,C05,C44,QNFF2G,NULL,S1,A1,IO,South-East Asia
2010,MGB,Mongolia Urban,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,39.4155,,,28.5642,51.4217,N/A,60.5845,,,71.4358,48.5783,489,Total,15,,C05,C44,QNFF2G,NULL,S1,A4,MGB,Western Pacific
2009,MV,Maldives,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,35.0741,,,26.3202,44.9628,Did not eat food from a fast food restaurant,64.9259,,,73.6798,55.0372,107,Male,13,,C05,C44,G10,NULL,S8,A2,MV,South-East Asia
2012,AGF,Argentina Cordoba,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,3.6832,,,1.7167,7.7251,N/A,96.3168,,,98.2833,92.2749,215,Female,14,,C05,C44,QNFF3G,NULL,S7,A3,AGF,Americas
2011,YSH,Malaysia - H,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,4.4449,,,1.7335,10.9258,N/A,95.5551,,,98.2665,89.0742,207,Male,13,,C05,C44,QNFF3G,NULL,S8,A2,YSH,Western Pacific
2013,NB,Namibia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,26.3183,,,22.6946,30.2938,N/A,73.6817,,,77.3054,69.7062,2354,Female,Total,,C05,C44,QNFF2G,NULL,S7,A1,NB,African
2012,GHD,Ghana Senior High,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,29.5338,,,23.3868,36.5261,N/A,70.4662,,,76.6132,63.4739,180,Total,15,,C05,C44,QNFF3G,NULL,S1,A4,GHD,African
2012,UYB,Uruguay (Montevideo),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,16.8416,,,12.5553,22.2192,N/A,83.1584,,,87.4447,77.7808,692,Female,13-15,,C05,C44,QNFF2G,NULL,S7,A7,UYB,Americas
2011,TTB,Trinidad and Tobago (Tobago),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,13.3428,,,9.7386,18.0147,N/A,86.6572,,,90.2614,81.9853,323,Male,13-15,,C05,C44,QNFF3G,NULL,S8,A7,TTB,Americas
2011,YSL,Malaysia - L,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,5.7892,,,3.2426,10.1266,N/A,94.2108,,,96.7574,89.8734,203,Female,14,,C05,C44,QNFF3G,NULL,S7,A3,YSL,Western Pacific
2015,THA,Thailand (Public),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,81.6469,,,79.7954,83.3642,Did not eat food from a fast food restaurant,18.3531,,,20.2046,16.6358,2476,Total,Total,,C05,C44,G10,NULL,S1,A1,THA,South-East Asia
2011,YSF,Malaysia - F,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,7.0659,,,4.8484,10.1891,N/A,92.9341,,,95.1516,89.8109,751,Female,Total,,C05,C44,QNFF3G,NULL,S7,A1,YSF,Western Pacific
2015,IOC,Indonesia (Outside Java and Sumatra),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,55.298,,,46.9071,63.3975,Did not eat food from a fast food restaurant,44.702,,,53.0929,36.6025,366,Male,13,,C05,C44,G10,NULL,S8,A2,IOC,South-East Asia
2010,UWD,UNRWA Lebanon,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,28.2243,,,22.642,34.5678,N/A,71.7757,,,77.358,65.4322,224,Female,15,,C05,C44,QNFF2G,NULL,S7,A4,UWD,Eastern Mediterranean
2015,THA,Thailand (Public),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,68.1815,,,60.6625,74.859,N/A,31.8185,,,39.3375,25.141,181,Female,16,,C05,C44,QNFF2G,NULL,S7,A5,THA,South-East Asia
2012,IQ,Iraq,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,22.4833,,,16.8355,29.3568,N/A,77.5167,,,83.1645,70.6432,202,Female,15,,C05,C44,QNFF2G,NULL,S7,A4,IQ,Eastern Mediterranean
2010,JM,Jamaica,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,20.1446,,,16.1352,24.8551,N/A,79.8554,,,83.8648,75.1449,474,Total,15,,C05,C44,QNFF3G,NULL,S1,A4,JM,Americas
2015,TH,Thailand,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,57.5191,,,53.623,61.3239,N/A,42.4809,,,46.377,38.6761,3303,Female,Total,,C05,C44,QNFF3G,NULL,S7,A1,TH,South-East Asia
2011,CS,Cook Islands,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,60.7728,,,52.2202,68.7117,Did not eat food from a fast food restaurant,39.2272,,,47.7798,31.2883,124,Female,13,,C05,C44,G10,NULL,S7,A2,CS,Western Pacific
2011,YSE,Malaysia - E,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,2.8812,,,1.1474,7.0481,N/A,97.1188,,,98.8526,92.9519,219,Female,15,,C05,C44,QNFF3G,NULL,S7,A4,YSE,Western Pacific
2013,BS,Bahamas,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,82,Female,15,,C05,C44,QNFF2G,NULL,S7,A4,BS,Americas
2013,BS,Bahamas,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,,,,,,Did not eat food from a fast food restaurant,,,,,,0,Female,17,,C05,C44,G10,NULL,S7,A6,BS,Americas
2014,BD,Bangladesh,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,9,Female,17,,C05,C44,QNFF3G,NULL,S7,A6,BD,South-East Asia
2009,GTA,Guatemala (Rest of Country),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,19.4784,,,15.6977,23.9115,N/A,80.5216,,,84.3023,76.0885,716,Male,13-15,,C05,C44,QNFF2G,NULL,S8,A7,GTA,Americas
2015,GT,Guatemala,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,67,Female,17,,C05,C44,QNFF2G,NULL,S7,A6,GT,Americas
2012,AGX,Argentina Tucuman,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,3.8131,,,2.2092,6.504,N/A,96.1869,,,97.7908,93.496,243,Female,14,,C05,C44,QNFF3G,NULL,S7,A3,AGX,Americas
2009,PK,Pakistan,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,20.724,,,16.874,25.1864,Did not eat food from a fast food restaurant,79.276,,,83.126,74.8136,2139,Total,14,,C05,C44,G10,NULL,S1,A3,PK,Eastern Mediterranean
2013,VN,Vietnam,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,,,,,,Did not eat food from a fast food restaurant,,,,,,5,Male,13,,C05,C44,G10,NULL,S8,A2,VN,Western Pacific
2012,AGD,Argentina Chubut,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,6.2499,,,3.5955,10.6472,N/A,93.7501,,,96.4045,89.3528,196,Male,15,,C05,C44,QNFF3G,NULL,S8,A4,AGD,Americas
2015,PIB,Philippines (Visayas),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,10.2046,,,7.9808,12.9607,N/A,89.7954,,,92.0192,87.0393,1355,Male,Total,,C05,C44,QNFF2G,NULL,S8,A1,PIB,Western Pacific
2012,AGD,Argentina Chubut,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,5.9292,,,2.4783,13.5188,N/A,94.0708,,,97.5217,86.4812,238,Female,15,,C05,C44,QNFF2G,NULL,S7,A4,AGD,Americas
2013,NB,Namibia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,23.6944,,,19.1111,28.9831,N/A,76.3056,,,80.8889,71.0169,352,Female,17,,C05,C44,QNFF2G,NULL,S7,A6,NB,African
2015,OM,Oman,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,69.906,,,65.3734,74.0804,Did not eat food from a fast food restaurant,30.094,,,34.6266,25.9196,739,Total,15,,C05,C44,G10,NULL,S1,A4,OM,Eastern Mediterranean
2013,MG,Mongolia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,26.5052,,,21.3329,32.4148,N/A,73.4948,,,78.6671,67.5852,2832,Female,Total,,C05,C44,QNFF3G,NULL,S7,A1,MG,Western Pacific
2010,JM,Jamaica,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,26.9852,,,18.7253,37.2199,N/A,73.0148,,,81.2747,62.7801,507,Total,14,,C05,C44,QNFF3G,NULL,S1,A3,JM,Americas
2015,CS,Cook Islands,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,34.8709,,,30.1633,39.8935,N/A,65.1291,,,69.8367,60.1065,319,Male,13-17,,C05,C44,QNFF2G,NULL,S8,A8,CS,Western Pacific
2015,IOA,Indonesia (Java),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,55.6869,,,50.2235,61.0161,Did not eat food from a fast food restaurant,44.3131,,,49.7765,38.9839,480,Male,14,,C05,C44,G10,NULL,S8,A3,IOA,South-East Asia
2011,SI,Solomon Islands,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,25.2539,,,18.741,33.108,N/A,74.7461,,,81.259,66.892,415,Male,13-15,,C05,C44,QNFF3G,NULL,S8,A7,SI,Western Pacific
2015,OM,Oman,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,25.0118,,,17.6657,34.1457,N/A,74.9882,,,82.3343,65.8543,327,Female,15,,C05,C44,QNFF3G,NULL,S7,A4,OM,Eastern Mediterranean
2011,PI,Philippines,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,18.8244,,,14.0644,24.7318,N/A,81.1756,,,85.9356,75.2682,2979,Female,Total,,C05,C44,QNFF2G,NULL,S7,A1,PI,Western Pacific
2012,BLC,Bolivia Valley,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,59.2539,,,51.9977,66.1277,Did not eat food from a fast food restaurant,40.7461,,,48.0023,33.8723,551,Female,Total,,C05,C44,G10,NULL,S7,A1,BLC,Americas
2012,AGR,Argentina San Juan,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,4.0875,,,2.2093,7.441,N/A,95.9125,,,97.7907,92.559,571,Female,Total,,C05,C44,QNFF3G,NULL,S7,A1,AGR,Americas
2012,AGU,Argentina Santa Fe,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,16.5825,,,13.1321,20.7231,N/A,83.4175,,,86.8679,79.2769,226,Female,14,,C05,C44,QNFF2G,NULL,S7,A3,AGU,Americas
2011,SK,Saint Kitts & Nevis,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,58.9744,,,52.4014,65.2417,Did not eat food from a fast food restaurant,41.0256,,,47.5986,34.7583,224,Male,15,,C05,C44,G10,NULL,S8,A4,SK,Americas
2015,IOB,Indonesia (Sumatra),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,24.1653,,,21.7144,26.7982,N/A,75.8347,,,78.2856,73.2018,1621,Female,13-17,,C05,C44,QNFF2G,NULL,S7,A8,IOB,South-East Asia
2009,ANB,Barbuda,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,14,Male,14,,C05,C44,QNFF2G,NULL,S8,A3,ANB,Americas
2015,OM,Oman,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,23.3297,,,19.5782,27.5538,N/A,76.6703,,,80.4218,72.4462,1625,Total,13-15,,C05,C44,QNFF3G,NULL,S1,A7,OM,Eastern Mediterranean
2010,TO,Tonga,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,71.3309,,,66.3361,75.8544,Did not eat food from a fast food restaurant,28.6691,,,33.6639,24.1456,357,Female,15,,C05,C44,G10,NULL,S7,A4,TO,Western Pacific
2015,TL,Timor Leste,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,26.1009,,,21.0313,31.899,N/A,73.8991,,,78.9687,68.101,574,Total,15,,C05,C44,QNFF2G,NULL,S1,A4,TL,South-East Asia
2012,AGT,Argentina Santa Cruz,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,6.5504,,,2.425,16.5065,N/A,93.4496,,,97.575,83.4935,138,Total,13,,C05,C44,QNFF2G,NULL,S1,A2,AGT,Americas
2015,GT,Guatemala,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,55.7859,,,48.9527,62.4068,Did not eat food from a fast food restaurant,44.2141,,,51.0473,37.5932,1628,Male,13-15,,C05,C44,G10,NULL,S8,A7,GT,Americas
2012,AGT,Argentina Santa Cruz,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,23.1591,,,17.3396,30.2177,Did not eat food from a fast food restaurant,76.8409,,,82.6604,69.7823,269,Total,14,,C05,C44,G10,NULL,S1,A3,AGT,Americas
2012,GHH,Ghana Junior High,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,42.127,,,33.2693,51.5222,N/A,57.873,,,66.7307,48.4778,477,Male,13-15,,C05,C44,QNFF2G,NULL,S8,A7,GHH,African
2015,IO,Indonesia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,13.3925,,,10.8044,16.486,N/A,86.6075,,,89.1956,83.514,772,Total,17,,C05,C44,QNFF3G,NULL,S1,A6,IO,South-East Asia
2009,DO,Dominica,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,22.1013,,,17.0432,28.1512,N/A,77.8987,,,82.9568,71.8488,343,Total,13,,C05,C44,QNFF2G,NULL,S1,A2,DO,Americas
2013,SZ,Swaziland,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,12.8805,,,9.101,17.9202,N/A,87.1195,,,90.899,82.0798,326,Female,16,,C05,C44,QNFF3G,NULL,S7,A5,SZ,African
2015,IOA,Indonesia (Java),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,11.0139,,,8.0006,14.9771,N/A,88.9861,,,91.9994,85.0229,464,Female,13,,C05,C44,QNFF3G,NULL,S7,A2,IOA,South-East Asia
2010,OM,Oman,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,24.0829,,,20.118,28.5498,N/A,75.9171,,,79.882,71.4502,1575,Total,Total,,C05,C44,QNFF3G,NULL,S1,A1,OM,Eastern Mediterranean
2011,YSH,Malaysia - H,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,44.3488,,,32.1996,57.2139,Did not eat food from a fast food restaurant,55.6512,,,67.8004,42.7861,151,Female,15,,C05,C44,G10,NULL,S7,A4,YSH,Western Pacific
